Geo Code,Jurisdiction,State,FY 2015 PPRN
089115,Sedgwick County,CO,"$9,924"
089117,Summit County,CO,"$36,316"
089119,Teller County,CO,"$25,788"
089121,Washington County,CO,"$14,349"
089123,Weld County,CO,"$206,772"
089125,Yuma County,CO,"$22,151"
090102,Bridgeport,CT,"$1,902,269"
090114,Bristol,CT,"$136,039"
090258,Danbury,CT,"$142,297"
090336,East Hartford,CT,"$136,288"
090390,Fairfield,CT,"$113,677"
090438,Greenwich,CT,"$183,105"
090480,Hamden Town,CT,"$94,411"
090492,Hartford,CT,"$2,333,844"
090594,Manchester,CT,"$137,848"
090612,Meriden,CT,"$202,653"
090630,Middletown,CT,"$103,165"
090636,Milford Town,CT,"$106,024"
090696,New Britain,CT,"$1,010,463"
090726,New Haven,CT,"$2,351,775"
090738,New London,CT,"$178,748"
090810,Norwalk,CT,"$221,394"
090816,Norwich,CT,"$202,683"
091074,Stamford,CT,"$223,456"
091104,Stratford,CT,"$137,479"
091194,Waterbury,CT,"$1,287,963"
091230,West Hartford,CT,"$212,498"
091236,West Haven,CT,"$154,140"
099001,Fairfield County,CT,"$337,629"
099003,Hartford County,CT,"$615,088"
099005,Litchfield County,CT,"$385,369"
099007,Middlesex County,CT,"$170,623"
099009,New Haven County,CT,"$615,618"
099011,New London County,CT,"$317,152"
099013,Tolland County,CT,"$238,607"
099015,Windham County,CT,"$296,419"
100090,Dover,DE,"$56,371"
100336,Wilmington,DE,"$1,446,411"
109001,Kent County,DE,"$178,471"
109003,New Castle County,DE,"$1,492,429"
109005,Sussex County,DE,"$302,273"
110006,District Of Columbia,DC,"$9,403,698"
120234,Boca Raton,FL,"$103,755"
120264,Boynton Beach,FL,"$119,027"
120270,Bradenton,FL,"$95,482"
120402,Cape Coral,FL,"$214,010"
120492,Clearwater,FL,"$180,783"
120516,Cocoa,FL,"$45,089"
120534,Coconut Creek,FL,"$63,062"
120588,Coral Springs,FL,"$152,631"
120684,Davie,FL,"$135,092"
120690,Daytona Beach,FL,"$139,655"
120708,Deerfield Beach,FL,"$150,769"
120732,Delray Beach,FL,"$100,800"
120738,Deltona,FL,"$109,544"
120954,Ft Lauderdale,FL,"$979,132"
120966,Ft Myers,FL,"$162,217"
120996,Fort Pierce,FL,"$125,128"
121008,Fort Walton Beach,FL,"$28,724"
121038,Gainesville,FL,"$324,800"
121236,Hialeah,FL,"$1,434,288"
121320,Hollywood,FL,"$255,927"
121344,Homestead City,FL,"$191,670"
121512,Jupiter,FL,"$63,984"
121572,Kissimmee,FL,"$127,864"
121662,Lakeland,FL,"$190,750"
121710,Largo,FL,"$109,369"
121728,Lauderhill,FL,"$185,414"
121874,Marco Island City,FL,"$18,395"
121878,Margate,FL,"$84,178"
121926,Melbourne,FL,"$111,878"
121968,Miami,FL,"$3,186,946"
121974,Miami Beach,FL,"$629,771"
121976,Miami Gardens City,FL,"$248,873"
122022,Miramar,FL,"$169,148"
122064,Naples,FL,"$21,825"
122142,North Miami,FL,"$189,992"
122214,Ocala,FL,"$112,247"
122292,Orlando,FL,"$1,215,814"
122358,Palm Bay,FL,"$152,198"
122374,Palm Coast,FL,"$104,070"
122406,Panama City,FL,"$80,849"
122448,Pembroke Pines,FL,"$177,324"
122466,Pensacola,FL,"$175,379"
122514,Plantation,FL,"$104,159"
122538,Pompano Beach,FL,"$228,651"
122568,Port Orange,FL,"$66,398"
122586,Port St Lucie,FL,"$230,833"
122598,Punta Gorda,FL,"$18,671"
122724,St Petersburg,FL,"$1,070,800"
122754,Sanford,FL,"$94,474"
122766,Sarasota,FL,"$100,228"
122808,Sebastian City,FL,"$24,165"
122958,Sunrise,FL,"$126,995"
123000,Tallahassee,FL,"$1,185,931"
123006,Tamarac,FL,"$86,685"
123012,Tampa,FL,"$1,770,676"
123048,Titusville,FL,"$60,330"
123213,Wellington,FL,"$64,368"
123249,Weston City,FL,"$60,854"
123252,West Palm Beach,FL,"$205,152"
123342,Winter Haven,FL,"$79,659"
129001,Alachua County,FL,"$211,784"
129003,Baker County,FL,"$56,120"
129005,Bay County,FL,"$207,850"
129007,Bradford County,FL,"$64,171"
129009,Brevard County,FL,"$291,247"
129011,Broward County,FL,"$1,560,443"
129013,Calhoun County,FL,"$38,249"
129015,Charlotte County,FL,"$198,232"
129017,Citrus County,FL,"$241,036"
129019,Clay County,FL,"$247,335"
129021,Collier County,FL,"$1,362,846"
129023,Columbia County,FL,"$143,404"
129027,Desoto County,FL,"$113,386"
129029,Dixie County,FL,"$29,220"
129031,Jacksonville-Duval Count,FL,"$3,765,589"
129033,Escambia County,FL,"$1,112,918"
129035,Flagler County,FL,"$29,997"
129037,Franklin County,FL,"$62,806"
129039,Gadsden County,FL,"$166,603"
129041,Gilchrist County,FL,"$35,773"
129043,Glades County,FL,"$29,844"
129045,Gulf County,FL,"$47,420"
129047,Hamilton County,FL,"$46,945"
129049,Hardee County,FL,"$96,802"
129051,Hendry County,FL,"$117,822"
129053,Hernando County,FL,"$263,846"
129055,Highlands County,FL,"$212,289"
129057,Hillsborough County,FL,"$3,797,163"
129059,Holmes County,FL,"$54,135"
129061,Indian River County,FL,"$200,454"
129063,Jackson County,FL,"$139,861"
129065,Jefferson County,FL,"$71,113"
129067,Lafayette County,FL,"$32,080"
129069,Lake County,FL,"$237,586"
129071,Lee County,FL,"$1,682,289"
129073,Leon County,FL,"$131,183"
129075,Levy County,FL,"$99,820"
129077,Liberty County,FL,"$22,123"
129079,Madison County,FL,"$73,037"
129081,Manatee County,FL,"$1,076,893"
129083,Marion County,FL,"$1,183,152"
129085,Martin County,FL,"$209,765"
129086,Miami-Dade County,FL,"$7,256,928"
129087,Monroe County,FL,"$291,885"
129089,Nassau County,FL,"$147,482"
129091,Okaloosa County,FL,"$263,803"
129093,Okeechobee County,FL,"$129,445"
129095,Orange County,FL,"$3,600,198"
129097,Osceola County,FL,"$312,572"
129099,Palm Beach County,FL,"$3,948,312"
129101,Pasco County,FL,"$1,766,436"
129103,Pinellas County,FL,"$1,630,553"
129105,Polk County,FL,"$1,988,021"
129107,Putnam County,FL,"$225,599"
129109,St. Johns County,FL,"$333,960"
129111,St. Lucie County,FL,"$117,598"
129113,Santa Rosa County,FL,"$219,553"
129115,Sarasota County,FL,"$1,047,942"
129117,Seminole County,FL,"$1,140,964"
129119,Sumter County,FL,"$137,479"
129121,Suwannee County,FL,"$112,797"
129123,Taylor County,FL,"$61,847"
129125,Union County,FL,"$28,627"
129127,Volusia County,FL,"$1,154,487"
129129,Wakulla County,FL,"$48,750"
129131,Walton County,FL,"$118,250"
129133,Washington County,FL,"$74,629"
130054,Albany,GA,"$219,639"
130168,Athens-Clarke County,GA,"$316,042"
130174,Atlanta,GA,"$4,618,585"
130192,Augusta-Richmond County,GA,"$1,146,459"
130444,Brunswick,GA,"$86,066"
130750,Columbus-Muscogee County,GA,"$903,125"
130882,Dalton,GA,"$94,341"
131314,Gainesville,GA,"$103,984"
131566,Hinesville,GA,"$56,006"
131713,Johns Creek City,GA,"$67,235"
